Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%)
A373220,LG에너지솔루션,12,2017,Annual,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,
A373220,LG에너지솔루션,12,2020,Annual,,,,,
A373220,LG에너지솔루션,12,2021,Annual,"1,121.84",15.56,27.26,흑전,흑전
A373220,LG에너지솔루션,12,2022,Annual,43.39,135.56,38.73,57.94,-16.14
A207940,삼성바이오로직스,12,2011,Annual,,,,,
A207940,삼성바이오로직스,12,2012,Annual,,221.38,247.66,적지,적지
A207940,삼성바이오로직스,12,2013,Annual,,-12.33,32.86,적지,적지
A207940,삼성바이오로직스,12,2014,Annual,140.93,65.49,101.59,적지,적지
A207940,삼성바이오로직스,12,2015,Annual,-13.4,319.09,16.94,적지,흑전
A207940,삼성바이오로직스,12,2016,Annual,222.77,47.12,22.54,적지,적전
A207940,삼성바이오로직스,12,2017,Annual,57.7,-2.59,38.72,흑전,적지
A207940,삼성바이오로직스,12,2018,Annual,15.32,4.5,13.51,-15.61,흑전
A207940,삼성바이오로직스,12,2019,Annual,30.94,4.79,-0.87,64.77,-9.46
A207940,삼성바이오로직스,12,2020,Annual,66.02,5.61,1.98,219.14,18.76
A207940,삼성바이오로직스,12,2021,Annual,34.62,8.53,27.09,83.52,63.33
A207940,삼성바이오로직스,12,2022,Annual,91.41,80.01,54.8,83.07,102.76
A005380,현대차,12,2011,Annual,16.14,22.62,5.58,36.44,35.05
A005380,현대차,12,2012,Annual,8.58,18.82,6.1,5.13,11.8
A005380,현대차,12,2013,Annual,3.36,18.08,3.48,-1.48,-0.75
A005380,현대차,12,2014,Annual,2.23,10.67,5.03,-9.21,-14.94
A005380,현대차,12,2015,Annual,3.03,6.8,27.31,-15.79,-14.91
A005380,현대차,12,2016,Annual,1.84,8.17,2.46,-18.31,-12.13
A005380,현대차,12,2017,Annual,2.91,3.34,1.43,-11.92,-20.51
A005380,현대차,12,2018,Annual,0.45,-1.15,2.41,-47.05,-63.82
A005380,현대차,12,2019,Annual,9.23,3.34,7.48,48.85,93.65
A005380,현대차,12,2020,Annual,-1.65,-0.03,3.84,-33.58,-39.59
A005380,현대차,12,2021,Annual,13.09,8.22,4.26,178.91,195.81
A005380,현대차,12,2022,Annual,20.87,10.02,1.72,47.1,40.23
A000270,기아,12,2011,Annual,20.55,31.83,7.25,47.65,30.42
A000270,기아,12,2012,Annual,9.38,24.71,5.84,0.66,9.82
A000270,기아,12,2013,Annual,0.75,20.22,0.57,-9.8,-1.23
A000270,기아,12,2014,Annual,-1.05,11.01,3.45,-19.03,-21.57
A000270,기아,12,2015,Annual,5.15,7.65,28.95,-8.48,-12.13
A000270,기아,12,2016,Annual,6.44,9.81,3.46,4.55,4.72
A000270,기아,12,2017,Annual,1.56,1.06,1.18,-73.1,-64.86
A000270,기아,12,2018,Annual,1.18,1.42,8.43,74.79,19.41
A000270,기아,12,2019,Annual,7.34,6.37,6.37,73.63,58.02
A000270,기아,12,2020,Annual,1.76,3.15,-1.06,2.83,-18.56
A000270,기아,12,2021,Annual,18.07,16.8,0.03,145.14,220
A000270,기아,12,2022,Annual,23.9,12.69,-1.29,42.79,13.63
A068270,셀트리온,12,2011,Annual,54.18,15.2,17.68,68.21,53.84
A068270,셀트리온,12,2012,Annual,25.5,16.74,-2.3,9.4,3.95
A068270,셀트리온,12,2013,Annual,-35.41,3.52,-3.26,-48.92,-41.26
A068270,셀트리온,12,2014,Annual,108.24,23.98,25.37,101.78,14.67
A068270,셀트리온,12,2015,Annual,28.1,26.34,-0.07,20.26,18.35
A068270,셀트리온,12,2016,Annual,11.13,21.03,-3.31,-8.69,7.46
A068270,셀트리온,12,2017,Annual,41.53,16.96,-2.73,125.81,152.8
A068270,셀트리온,12,2018,Annual,3.48,7.66,4.41,-35.32,-37.13
A068270,셀트리온,12,2019,Annual,14.91,10.7,4.78,18.07,26.94
A068270,셀트리온,12,2020,Annual,63.86,19.31,2.46,88.34,74.4
A068270,셀트리온,12,2021,Annual,2.39,18.17,0.44,3.56,13.33
A068270,셀트리온,12,2022,Annual,20.63,5.53,5.96,-13.03,-8.93
A005490,POSCO홀딩스,12,2011,Annual,43.96,5.69,11.85,-1.38,-11.26
A005490,POSCO홀딩스,12,2012,Annual,-7.74,4.17,13.44,-33.19,-35.77
A005490,POSCO홀딩스,12,2013,Annual,-2.73,8,10.79,-17.98,-43.19
A005490,POSCO홀딩스,12,2014,Annual,5.23,-1.16,-1.45,7.26,-58.92
A005490,POSCO홀딩스,12,2015,Annual,-10.61,-0.49,-2.04,-25,적전
A005490,POSCO홀딩스,12,2016,Annual,-8.78,1.7,-2.18,18.02,흑전
A005490,POSCO홀딩스,12,2017,Annual,14.26,3.55,-5.59,62.49,183.68
A005490,POSCO홀딩스,12,2018,Annual,7.13,-1.48,-5.85,19.92,-36.37
A005490,POSCO홀딩스,12,2019,Annual,-0.94,2.21,-0.31,-30.2,4.79
A005490,POSCO홀딩스,12,2020,Annual,-10.21,-0.25,-1.76,-37.89,-9.81
A005490,POSCO홀딩스,12,2021,Annual,32.08,14.96,0.67,284.43,302.42
A005490,POSCO홀딩스,12,2022,Annual,11.03,6.3,7.38,-47.5,-50.52
A035420,NAVER,12,2011,Annual,18.82,19.36,15.62,7.11,-3.57
A035420,NAVER,12,2012,Annual,-15.21,20.64,47.34,-21.07,20.41
A035420,NAVER,12,2013,Annual,25.6,-22.5,39.95,-2.81,248.12
A035420,NAVER,12,2014,Annual,22.1,21.83,13.82,49.68,-76.16
A035420,NAVER,12,2015,Annual,17.96,26.27,-4.12,9.5,14.44
A035420,NAVER,12,2016,Annual,23.62,81.95,-0.06,32.74,46.83
A035420,NAVER,12,2017,Annual,16.3,28.47,33.22,7,1.45
A035420,NAVER,12,2018,Annual,19.42,12.14,26.72,-20.07,-18.47
A035420,NAVER,12,2019,Annual,-22.03,9.33,9.54,22.54,-36.8
A035420,NAVER,12,2020,Annual,21.76,26.93,5.53,5.22,112.94
A035420,NAVER,12,2021,Annual,28.53,191.06,25.33,9.06,"1,850.02"
A035420,NAVER,12,2022,Annual,20.57,-2.4,16.41,-1.57,-95.91
A006400,삼성SDI,12,2011,Annual,6.24,1.34,5.8,-53.05,-8.84
A006400,삼성SDI,12,2012,Annual,6.01,19.79,7.88,69.94,323.53
A006400,삼성SDI,12,2013,Annual,-40.59,-0.29,-9.29,적전,-90.05
A006400,삼성SDI,12,2014,Annual,59.67,56.81,85.96,흑전,적전
A006400,삼성SDI,12,2015,Annual,-9.49,-4.85,-2.88,적전,흑전
A006400,삼성SDI,12,2016,Annual,4.96,-2.57,-22.46,적지,721.9
A006400,삼성SDI,12,2017,Annual,22.03,4.45,17.04,흑전,204.67
A006400,삼성SDI,12,2018,Annual,44.3,6.75,57.26,511.64,15.84
A006400,삼성SDI,12,2019,Annual,10.25,3.56,17.76,-35.36,-45.99
A006400,삼성SDI,12,2020,Annual,11.86,5.52,12.92,45.26,56.81
A006400,삼성SDI,12,2021,Annual,20,13.76,24.61,59.02,98.17
A006400,삼성SDI,12,2022,Annual,48.48,13.3,17.41,69.36,63.1
A105560,KB금융,12,2011,Annual,6.93,17.46,1.14,776,"1,004.35"
A105560,KB금융,12,2012,Annual,1.82,7.2,-2.69,-28.43,-28.35
A105560,KB금융,12,2013,Annual,-13.04,4.92,-1.28,-16.66,-26.75
A105560,KB금융,12,2014,Annual,-5.84,5.89,0.72,-3.35,11.02
A105560,KB금융,12,2015,Annual,-10.82,5.05,6.63,-7.04,22.06
A105560,KB금융,12,2016,Annual,-3.41,8.16,10.34,-7.92,26.8
A105560,KB금융,12,2017,Annual,18.93,8.9,15.84,139.44,52.66
A105560,KB금융,12,2018,Annual,15.23,4.9,1.68,6.28,-8.42
A105560,KB금융,12,2019,Annual,6.59,9.54,18.61,5.23,8.21
A105560,KB금융,12,2020,Annual,-1.05,10.95,7.23,3.2,6.11
A105560,KB금융,12,2021,Annual,5.01,11.27,-3.56,31.57,24.71
A105560,KB금융,12,2022,Annual,36.66,12.04,-4.74,-13.26,-10.33
A051910,LG화학,12,2011,Annual,16.46,23.76,25.61,-0.75,-1.37
A051910,LG화학,12,2012,Annual,2.59,10.9,13.18,-32.23,-30.57
A051910,LG화학,12,2013,Annual,-0.51,8.92,2.53,-8.76,-15.65
A051910,LG화학,12,2014,Annual,-2.44,4.61,1.63,-24.8,-32.79
A051910,LG화학,12,2015,Annual,-10.5,6.83,1.93,39.12,34.48
A051910,LG화학,12,2016,Annual,2.24,7.23,9.17,9.23,11.53
A051910,LG화학,12,2017,Annual,24.39,16.28,15.82,47.02,57.84
A051910,LG화학,12,2018,Annual,9.67,6.02,23.44,-23.3,-24.86
A051910,LG화학,12,2019,Annual,-2.94,0.36,34.35,-63.25,-75.25
A051910,LG화학,12,2020,Annual,9.89,8.09,10.62,118.72,81.44
A051910,LG화학,12,2021,Annual,41.72,23.52,18.53,178.41,479.4
A051910,LG화학,12,2022,Annual,19.68,61.49,21.68,-40.73,-44.47
A028260,삼성물산,12,2011,Annual,21.73,-12.68,6.2,26.2,67.81
A028260,삼성물산,12,2012,Annual,0.57,0.82,7.52,-68.69,-52.51
A028260,삼성물산,12,2013,Annual,19.37,3.78,21.42,60.43,-67.85
A028260,삼성물산,12,2014,Annual,59,33.83,0.66,92.1,906.97
A028260,삼성물산,12,2015,Annual,160.15,246.51,140.84,-82.6,490.16
A028260,삼성물산,12,2016,Annual,110.59,15.24,2.86,275.69,-99.22
A028260,삼성물산,12,2017,Annual,4.19,19.17,-5.59,531.62,"2,208.35"
A028260,삼성물산,12,2018,Annual,6.41,-10.35,0.77,25.26,263.38
A028260,삼성물산,12,2019,Annual,-1.27,18.37,-1.96,-21.48,-40.06
A028260,삼성물산,12,2020,Annual,-1.77,23.43,-1.52,-1.12,10.76
A028260,삼성물산,12,2021,Annual,14.03,1.24,7.84,39.54,57.59
A028260,삼성물산,12,2022,Annual,25.27,-4.16,22.35,111.42,39.14
A012330,현대모비스,12,2011,Annual,18.75,25.86,12.66,4.66,11.48
A012330,현대모비스,12,2012,Annual,17.09,23.52,11.89,10.2,17.02
A012330,현대모비스,12,2013,Annual,11.07,18.51,4.67,0.62,-4.11
A012330,현대모비스,12,2014,Annual,2.71,15.32,14.08,7.41,-0.12
A012330,현대모비스,12,2015,Annual,2.54,10.26,79.19,-6.58,-10.39
A012330,현대모비스,12,2016,Annual,6.22,11.22,7.17,-1.02,0.24
A012330,현대모비스,12,2017,Annual,-8.15,2.8,-3.64,-30.29,-48.88
A012330,현대모비스,12,2018,Annual,0.01,4.58,-2.15,0,21.22
A012330,현대모비스,12,2019,Annual,8.25,5.56,7.17,16.51,21.51
A012330,현대모비스,12,2020,Annual,-3.74,2.83,1.34,-22.42,-33.45
A012330,현대모비스,12,2021,Annual,13.86,6.09,4.69,11.46,54.73
A012330,현대모비스,12,2022,Annual,24.47,6.93,2.63,-0.67,5.28
A055550,신한지주,12,2011,Annual,6.75,-1.24,0.59,22.2,14.45
A055550,신한지주,12,2012,Annual,1.58,7.65,3.83,-23.83,-23.86
A055550,신한지주,12,2013,Annual,-10.05,3.26,3.41,-17.18,-17.52
A055550,신한지주,12,2014,Annual,-4.22,2.21,-2.09,0.87,7.02
A055550,신한지주,12,2015,Annual,-7.72,4.25,-2.92,11.99,11.2
A055550,신한지주,12,2016,Annual,0.96,-0.21,2.95,4.56,15.49
A055550,신한지주,12,2017,Annual,5,6.17,-3.94,23.21,4.4
A055550,신한지주,12,2018,Annual,15.03,8.75,-0.59,17.48,8.44
A055550,신한지주,12,2019,Annual,15.73,14.4,35.93,12.15,13.89
A055550,신한지주,12,2020,Annual,-5.94,10.56,-2.29,-2.31,-3.96
A055550,신한지주,12,2021,Annual,-0.34,6.86,1.42,20.74,17.57
A055550,신한지주,12,2022,Annual,36.46,7.84,-0.87,-0.78,15.63
A003670,포스코퓨처엠,12,2011,Annual,57.21,34.05,45.15,67.2,60.49
A003670,포스코퓨처엠,12,2012,Annual,9.01,21.07,16.33,-23,-17.54
A003670,포스코퓨처엠,12,2013,Annual,2.65,13.6,-1.88,-19.32,-22.99
A003670,포스코퓨처엠,12,2014,Annual,3.09,13.79,18.88,27.86,26.3
A003670,포스코퓨처엠,12,2015,Annual,-10.93,4.55,6.55,-41.01,-56.11
A003670,포스코퓨처엠,12,2016,Annual,-8.48,5.79,-5.7,52.36,38.42
A003670,포스코퓨처엠,12,2017,Annual,7.11,14.54,33.67,21.82,133.47
A003670,포스코퓨처엠,12,2018,Annual,15.57,16.24,44.25,2.25,27.7
A003670,포스코퓨처엠,12,2019,Annual,7.24,32.74,186.59,-15.47,-23.8
A003670,포스코퓨처엠,12,2020,Annual,5.56,1.72,23.39,-32.93,-70.59
A003670,포스코퓨처엠,12,2021,Annual,27.03,138.22,56.55,101.89,349.66
A003670,포스코퓨처엠,12,2022,Annual,65.96,8.7,43.8,36.32,-8.85
A035720,카카오,12,2011,Annual,20.22,28.06,36.1,22.12,-11.81
A035720,카카오,12,2012,Annual,7.62,13.96,13.57,-12.85,-29.02
A035720,카카오,12,2013,Annual,-53.51,-65.91,-79.93,-35.28,-19.87
A035720,카카오,12,2014,Annual,136.68,"1,289.64",869.13,167.91,143.98
A035720,카카오,12,2015,Annual,86.86,4.96,11.25,-49.79,-47.43
A035720,카카오,12,2016,Annual,57.08,43.22,15.89,31.1,-16.9
A035720,카카오,12,2017,Annual,34.7,20.52,6.77,42.4,91.11
A035720,카카오,12,2018,Annual,22.55,26.09,16.15,-55.89,-87.3
A035720,카카오,12,2019,Annual,27.02,1.8,11.12,177.17,적전
A035720,카카오,12,2020,Annual,32.61,29.38,23.11,122.82,흑전
A035720,카카오,12,2021,Annual,45.17,83.06,28.85,30.49,870.82
A035720,카카오,12,2022,Annual,15.03,-0.39,59.56,-3.15,-34.96
A032830,삼성생명,3,2011,Annual,0.94,14.97,8.02,-41.39,-39.56
A032830,삼성생명,3,2012,Annual,49.74,20.25,3.68,16.34,6.21
A032830,삼성생명,12,2013,Annual,-43.01,-12.63,5.16,-56.05,-41.92
A032830,삼성생명,12,2014,Annual,38.94,17.1,0.96,159.03,128.78
A032830,삼성생명,12,2015,Annual,-0.62,6.45,-2.43,-18.29,-9.53
A032830,삼성생명,12,2016,Annual,-3.38,19.34,-17.23,-14.1,77.75
A032830,삼성생명,12,2017,Annual,-0.73,9.94,-26.7,71.37,-41.24
A032830,삼성생명,12,2018,Annual,-3.07,-1.98,-22.82,52.8,37.25
A032830,삼성생명,12,2019,Annual,0.41,22.33,14.43,-51.51,-39.34
A032830,삼성생명,12,2020,Annual,9.5,16.87,-9.05,42.91,30.31
A032830,삼성생명,12,2021,Annual,-0.59,-9.14,-1.62,-4.97,16.58
A032830,삼성생명,12,2022,Annual,-25.22,4.89,-13.02,28.2,44.43
A086790,하나금융지주,12,2011,Annual,8.91,16.36,-4.73,27.08,24.75
A086790,하나금융지주,12,2012,Annual,45.54,37.25,80.64,16.45,32.7
A086790,하나금융지주,12,2013,Annual,-7.86,2.69,-0.44,-42.25,-42.58
A086790,하나금융지주,12,2014,Annual,-4.2,4.81,2.64,6.73,-1.33
A086790,하나금융지주,12,2015,Annual,-10.45,4.92,4.14,-18.73,-2.6
A086790,하나금융지주,12,2016,Annual,-7.26,1.82,4.51,59.73,46.68
A086790,하나금융지주,12,2017,Annual,6.57,6.15,-11.71,68.4,51.21
A086790,하나금융지주,12,2018,Annual,15.77,9.19,14.5,15.97,7.49
A086790,하나금융지주,12,2019,Annual,7.52,6.92,19.54,3.38,6.61
A086790,하나금융지주,12,2020,Annual,-3.71,9.02,-8.95,17.73,10.69
A086790,하나금융지주,12,2021,Annual,1.52,12.34,7.11,20.71,33.4
A086790,하나금융지주,12,2022,Annual,47.09,6,48.12,1.23,1.61
A138040,메리츠금융지주,3,2011,Annual,,339.45,"20,068.88",흑전,흑전
A138040,메리츠금융지주,3,2012,Annual,355.5,38.92,31.84,38.83,-55.67
A138040,메리츠금융지주,12,2013,Annual,-16.6,-0.96,1.22,6.26,11.57
A138040,메리츠금융지주,12,2014,Annual,71.74,39.09,3.93,36.24,55.24
A138040,메리츠금융지주,12,2015,Annual,17.84,20.99,0.64,126.24,86.04
A138040,메리츠금융지주,12,2016,Annual,18.9,9.84,-6.69,11.61,18.05
A138040,메리츠금융지주,12,2017,Annual,10.94,21.2,-2.23,45.8,44.79
A138040,메리츠금융지주,12,2018,Annual,26.52,12.89,19.12,-20.05,-15.3
A138040,메리츠금융지주,12,2019,Annual,17.17,9.3,-23.74,19.93,22.96
A138040,메리츠금융지주,12,2020,Annual,-0.39,15.35,-1.13,42.58,17.56
A138040,메리츠금융지주,12,2021,Annual,4.83,0.09,56.81,30.82,49.49
A138040,메리츠금융지주,12,2022,Annual,53.79,24.1,3.08,61.18,54.23
A066570,LG전자,12,2011,Annual,-2.69,2.24,12.15,329.94,적전
A066570,LG전자,12,2012,Annual,1.6,-3.37,35.65,221.02,흑전
A066570,LG전자,12,2013,Annual,2.99,-0.13,4.58,2.65,116.63
A066570,LG전자,12,2014,Annual,4,2.38,2.46,46.4,125.12
A066570,LG전자,12,2015,Annual,-4.29,-0.06,-1.29,-34.8,-50.31
A066570,LG전자,12,2016,Annual,-2.02,2.87,7.29,12.2,-49.3
A066570,LG전자,12,2017,Annual,10.89,9.86,5.15,84.53,"1,380.04"
A066570,LG전자,12,2018,Annual,-0.09,11.13,12.99,9.51,-21.22
A066570,LG전자,12,2019,Annual,1.57,0.73,8.79,-9.88,-87.78
A066570,LG전자,12,2020,Annual,-6.82,6.8,-3.66,60.3,"1,046.88"
A066570,LG전자,12,2021,Annual,27.3,14.57,5.2,3.92,-31.44
A066570,LG전자,12,2022,Annual,12.93,11.91,7.69,-12.49,31.67
A000810,삼성화재,3,2011,Annual,14.88,16.42,13.17,17.35,15.22
A000810,삼성화재,3,2012,Annual,13.73,15.84,4.43,-5.21,-1.07
A000810,삼성화재,12,2013,Annual,-21.71,-12.05,4.89,-34.02,-34.85
A000810,삼성화재,12,2014,Annual,35.2,20.92,0.38,63.92,62.72
A000810,삼성화재,12,2015,Annual,2.46,5.73,0.7,-2.82,-2.91
A000810,삼성화재,12,2016,Annual,1.74,9.15,-18.96,-1.28,5.75
A000810,삼성화재,12,2017,Annual,0.02,9.08,-18.66,17.4,22.62
A000810,삼성화재,12,2018,Annual,0.35,2.98,1.75,15.37,1.46
A000810,삼성화재,12,2019,Annual,3.27,15.82,12.77,-40.31,-39.7
A000810,삼성화재,12,2020,Annual,3.44,13.69,-1.21,20.61,17.3
A000810,삼성화재,12,2021,Annual,0.46,-4.85,13.82,44.28,48.52
A000810,삼성화재,12,2022,Annual,-23.17,-19.16,-2.53,35.69,44.63
A042700,한미반도체,12,2011,Annual,-20.78,0.12,8.48,-40.33,-53.48
A042700,한미반도체,12,2012,Annual,-1.38,7.8,2.09,24.44,47.94
A042700,한미반도체,12,2013,Annual,10.47,-0.17,32.27,-36.43,-54.35
A042700,한미반도체,12,2014,Annual,0.4,12.17,-33.79,264.65,167.42
A042700,한미반도체,12,2015,Annual,-38.75,-5.36,-1.5,-53.67,-26.9
A042700,한미반도체,12,2016,Annual,41.15,7.93,4.62,69.53,44.25
A042700,한미반도체,12,2017,Annual,18.66,-1.51,9.01,33.98,-69.79
A042700,한미반도체,12,2018,Annual,10.04,4.55,32.72,9.94,418.65
A042700,한미반도체,12,2019,Annual,-44.56,1.92,18.03,-75.83,-60.91
A042700,한미반도체,12,2020,Annual,113.82,17.02,0.42,385.59,160.25
A042700,한미반도체,12,2021,Annual,44.98,34.9,19.77,83.68,108.33
A042700,한미반도체,12,2022,Annual,-12.21,12.48,4.09,-8.63,-11.66
A015760,한국전력,12,2011,Annual,10,-6.06,4.64,적전,적지
A015760,한국전력,12,2012,Annual,13.73,-5.09,8.89,적지,적지
A015760,한국전력,12,2013,Annual,9.34,0.76,5.93,흑전,흑전
A015760,한국전력,12,2014,Annual,6.36,6.56,4.76,281.02,"1,505.78"
A015760,한국전력,12,2015,Annual,2.58,23.93,4.09,96.05,379.33
A015760,한국전력,12,2016,Annual,2.09,7.52,3.1,5.77,-46.72
A015760,한국전력,12,2017,Annual,-0.62,-0.12,3.53,-58.73,-79.84
A015760,한국전력,12,2018,Annual,1.36,-2.57,1.23,적전,적전
A015760,한국전력,12,2019,Annual,-2.4,-3.1,7.83,적지,적지
A015760,한국전력,12,2020,Annual,-1.02,2.58,2.43,흑전,흑전
A015760,한국전력,12,2021,Annual,3.59,-7.56,2.62,적전,적전
A015760,한국전력,12,2022,Annual,17.44,-35.71,2.73,적지,적지
A003550,LG,12,2011,Annual,6.11,7.11,10.7,-30.44,-35.7
A003550,LG,12,2012,Annual,-3.62,5.34,4.37,-8.85,-6.62
A003550,LG,12,2013,Annual,1.07,4.85,-0.88,-6.3,-13.6
A003550,LG,12,2014,Annual,0.68,3.97,4.88,-9.52,0.41
A003550,LG,12,2015,Annual,1.01,5.74,-0.26,9.05,13.13
A003550,LG,12,2016,Annual,-2.92,6.85,0.41,16.17,15.63
A003550,LG,12,2017,Annual,22.4,13.78,-22.96,65.25,123.19
A003550,LG,12,2018,Annual,-34.61,12.27,-1.77,-16.68,-22.69
A003550,LG,12,2019,Annual,-15.61,4.72,-12.65,-45.4,-41.22
A003550,LG,12,2020,Annual,-20.44,9.67,-3.08,59.51,39.2
A003550,LG,12,2021,Annual,31.93,5.17,-5.08,55.11,74.21
A003550,LG,12,2022,Annual,4.77,19.57,1.03,-21.09,-21.17
A323410,카카오뱅크,12,2011,Annual,,,,,
A323410,카카오뱅크,12,2012,Annual,,,,,
A323410,카카오뱅크,12,2013,Annual,,,,,
A323410,카카오뱅크,12,2014,Annual,,,,,
A323410,카카오뱅크,12,2015,Annual,,,,,
A323410,카카오뱅크,12,2016,Annual,,,,,
A323410,카카오뱅크,12,2017,Annual,"3,654.59",138.21,468.61,적지,적지
A323410,카카오뱅크,12,2018,Annual,484.06,70.76,-1.97,적지,적지
A323410,카카오뱅크,12,2019,Annual,68.27,47.2,47.15,흑전,흑전
A323410,카카오뱅크,12,2020,Annual,21.19,66.61,-2.04,824.6,727.47
A323410,카카오뱅크,12,2021,Annual,31.13,97.41,52.15,109.66,79.63
A323410,카카오뱅크,12,2022,Annual,64.62,3.51,146.19,37.46,28.89
A259960,크래프톤,12,2011,Annual,,잠식지속,15.5,흑전,적지
A259960,크래프톤,12,2012,Annual,49.19,잠식지속,3.22,적전,적지
A259960,크래프톤,12,2013,Annual,10.34,잠식지속,56.31,흑전,흑전
A259960,크래프톤,12,2014,Annual,-20.69,잠식지속,-16.47,-77,적전
A259960,크래프톤,12,2015,Annual,30.2,전기잠식,26.53,79.61,적지
A259960,크래프톤,12,2016,Annual,-19.76,당기잠식,18.08,적전,적지
A259960,크래프톤,12,2017,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS)
A259960,크래프톤,12,2018,Annual,260.89,잠식지속,167.91,"1,027.17",흑전
A259960,크래프톤,12,2019,Annual,-2.91,전기잠식,351.09,19.67,11.1
A259960,크래프톤,12,2020,Annual,53.61,107.75,10.23,115.39,99.48
A259960,크래프톤,12,2021,Annual,12.87,279.56,73.66,-15.93,-6.54
A259960,크래프톤,12,2022,Annual,-1.66,11.03,-8.36,15.52,-3.79
A034730,SK,12,2011,Annual,11.48,25.33,8.16,9.14,34.97
A034730,SK,12,2012,Annual,31.73,-0.91,8.91,14.22,-18.73
A034730,SK,12,2013,Annual,2.67,11.8,17,12.19,-43.19
A034730,SK,12,2014,Annual,5.4,4.06,22.7,20.58,-35.8
A034730,SK,12,2015,Annual,"1,519.95","1,440.03","6,769.81",418.06,"4,171.98"
A034730,SK,12,2016,Annual,110.51,5.61,4.02,275.39,-49.14
A034730,SK,12,2017,Annual,9.53,8.1,0.64,8.79,79.5
A034730,SK,12,2018,Annual,10.54,11.21,-3.82,-18.47,21.41
A034730,SK,12,2019,Annual,-2.35,2.53,7.84,-20.24,-73.89
A034730,SK,12,2020,Annual,-17.37,-0.61,7.16,적전,적전
A034730,SK,12,2021,Annual,20.27,26.4,11.98,흑전,흑전
A034730,SK,12,2022,Annual,35.88,9.54,16.59,67.94,-30.49
A033780,KT&G,12,2011,Annual,7.56,5.48,3.46,-0.43,-21.76
A033780,KT&G,12,2012,Annual,5.07,6.28,3.38,-4.26,-10.89
A033780,KT&G,12,2013,Annual,-3.3,3.29,-0.47,-1.03,-22.33
A033780,KT&G,12,2014,Annual,8.43,6.18,3.98,17.34,43.39
A033780,KT&G,12,2015,Annual,0.8,10.29,2.27,14.15,30.7
A033780,KT&G,12,2016,Annual,8.1,13.14,-4.3,7.47,15.02
A033780,KT&G,12,2017,Annual,4.44,11.42,8.5,-1.86,0.68
A033780,KT&G,12,2018,Annual,-4.19,3.92,2.45,-13.02,-25.43
A033780,KT&G,12,2019,Annual,11,7,-3.6,10.06,14.82
A033780,KT&G,12,2020,Annual,1.86,4.03,-2.01,6.78,12.96
A033780,KT&G,12,2021,Annual,3.42,1.29,1.32,-9.15,-17.06
