Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A005490,POSCO홀딩스,12,2011,Annual,5.39,13.22,7.93,"1,133.43",991.37,108.61,12.07,991.37,756.24
A005490,POSCO홀딩스,12,2012,Annual,3.75,11.73,5.74,757.27,698.27,106.09,8.10,698.27,510.38
A005490,POSCO홀딩스,12,2013,Annual,2.19,11.09,4.84,621.09,403.43,105.09,4.41,403.43,285.32
A005490,POSCO홀딩스,12,2014,Annual,0.86,11.19,4.94,666.15,285.68,105.19,3.03,285.68,129.79
A005490,POSCO홀딩스,12,2015,Annual,-0.17,11.23,4.14,499.59,37.47,104.32,0.40,37.47,37.45
A005490,POSCO홀딩스,12,2016,Annual,1.97,12.60,5.36,589.62,297.02,105.66,3.15,297.02,282.61
A005490,POSCO홀딩스,12,2017,Annual,4.90,13.78,7.62,958.09,866.43,108.25,8.96,866.43,578.38
A005490,POSCO홀딩스,12,2018,Annual,2.91,12.27,8.53,"1,148.96",738.56,109.33,7.56,738.56,350.46
A005490,POSCO홀딩스,12,2019,Annual,3.08,9.71,6.01,802.00,632.93,106.40,6.46,632.93,380.41
A005490,POSCO홀딩스,12,2020,Annual,3.09,8.17,4.16,498.14,419.79,104.34,4.24,419.79,332.12
A005490,POSCO홀딩스,12,2021,Annual,9.43,15.56,12.10,"1,915.01","1,951.91",113.77,18.38,"1,951.91","1,371.72"
A005490,POSCO홀딩스,12,2022,Annual,4.20,9.03,5.72,"1,005.39",832.16,106.07,7.10,832.16,651.76
A035420,NAVER,12,2011,Annual,21.31,100.00,31.13,"2,744.17","2,626.88",145.20,43.60,"2,626.88","1,869.96"
A035420,NAVER,12,2012,Annual,30.27,100.00,28.98,"2,165.85","2,279.54",140.80,31.51,"2,279.54","2,269.28"
A035420,NAVER,12,2013,Annual,83.89,100.00,22.42,"2,498.64","2,169.17",128.90,26.03,"2,169.17","9,359.73"
A035420,NAVER,12,2014,Annual,16.38,100.00,27.49,"4,600.35","3,997.51",137.90,40.26,"3,997.51","2,757.41"
A035420,NAVER,12,2015,Annual,15.89,100.00,25.51,"5,037.36","4,994.87",134.25,40.48,"4,994.87","3,147.48"
A035420,NAVER,12,2016,Annual,18.87,100.00,27.40,"6,686.60","6,866.98",137.73,35.37,"6,866.98","4,546.39"
A035420,NAVER,12,2017,Annual,16.46,100.00,25.20,"7,154.68","7,255.65",133.70,25.35,"7,255.65","4,689.42"
A035420,NAVER,12,2018,Annual,11.24,100.00,16.87,"5,718.79","6,745.04",120.29,19.76,"6,745.04","3,936.65"
A035420,NAVER,12,2019,Annual,9.11,100.00,26.51,"7,008.08","8,441.40",136.08,22.34,"8,441.40","3,537.65"
A035420,NAVER,12,2020,Annual,15.93,100.00,22.91,"7,374.05","9,911.57",129.72,22.14,"9,911.57","6,080.13"
A035420,NAVER,12,2021,Annual,241.69,100.00,19.44,"8,042.30","12,901.86",124.13,13.17,"12,901.86","100,051.64"
A035420,NAVER,12,2022,Annual,8.19,100.00,15.87,"7,916.01","6,575.42",118.87,4.57,"6,575.42","4,612.86"
A006400,삼성SDI,12,2011,Annual,6.45,12.55,2.02,45.69,198.64,102.06,7.62,198.64,133.00
A006400,삼성SDI,12,2012,Annual,25.76,15.73,3.24,77.64,843.20,103.35,29.24,843.20,611.39
A006400,삼성SDI,12,2013,Annual,4.31,17.98,-0.33,-4.70,213.22,99.67,6.79,213.22,54.26
A006400,삼성SDI,12,2014,Annual,-1.47,16.97,1.29,23.71,66.75,101.31,2.06,66.75,-28.07
A006400,삼성SDI,12,2015,Annual,0.52,16.96,-5.40,-74.99,-47.69,94.88,-1.47,-47.69,15.10
A006400,삼성SDI,12,2016,Annual,4.06,14.43,-17.81,-259.69,-230.07,84.88,-7.39,-230.07,61.51
A006400,삼성SDI,12,2017,Annual,10.13,18.37,1.84,32.77,231.02,101.88,7.35,231.02,184.25
A006400,삼성SDI,12,2018,Annual,8.14,22.28,7.81,200.43,290.50,108.47,8.75,290.50,196.56
A006400,삼성SDI,12,2019,Annual,3.98,21.94,4.58,129.57,158.29,104.80,4.54,158.29,99.95
A006400,삼성SDI,12,2020,Annual,5.59,21.08,5.94,188.20,225.23,106.32,6.18,225.23,161.12
A006400,삼성SDI,12,2021,Annual,9.23,22.71,7.88,299.28,466.30,108.55,11.65,466.30,327.94
A006400,삼성SDI,12,2022,Annual,10.13,20.97,8.98,506.85,743.53,109.87,16.36,743.53,547.26
A105560,KB금융,12,2011,Annual,9.17,26.83,12.83,175.92,168.80,114.72,15.25,168.80,122.84
A105560,KB금융,12,2012,Annual,6.85,27.71,9.58,125.91,118.99,110.59,9.61,118.99,89.61
A105560,KB금융,12,2013,Annual,5.64,28.87,8.97,104.93,93.97,109.85,7.15,93.97,65.82
A105560,KB금융,12,2014,Annual,6.60,29.91,9.13,101.42,98.43,110.05,7.11,98.43,72.51
A105560,KB금융,12,2015,Annual,7.77,27.90,8.19,94.27,112.06,108.92,7.67,112.06,87.92
A105560,KB금융,12,2016,Annual,8.64,25.25,6.61,83.38,130.70,107.08,8.74,130.70,106.59
A105560,KB금융,12,2017,Annual,8.52,21.02,10.24,192.07,197.96,111.40,12.67,197.96,158.40
A105560,KB금융,12,2018,Annual,7.29,21.19,10.15,204.13,205.76,111.30,12.33,205.76,146.43
A105560,KB금융,12,2019,Annual,7.02,19.50,9.52,214.81,216.88,110.52,12.12,216.88,158.42
A105560,KB금융,12,2020,Annual,6.31,17.46,8.32,221.68,228.65,109.08,11.58,228.65,165.91
A105560,KB금융,12,2021,Annual,7.44,19.06,10.35,291.67,290.91,111.54,13.26,290.91,210.93
A105560,KB금융,12,2022,Annual,4.73,13.86,6.37,253.00,260.68,106.80,10.64,260.68,198.65
A051910,LG화학,12,2011,Annual,9.57,18.00,12.43,762.86,756.86,114.20,31.87,756.86,578.60
A051910,LG화학,12,2012,Annual,6.48,14.22,8.21,517.00,508.93,108.95,18.37,508.93,404.46
A051910,LG화학,12,2013,Annual,5.49,14.30,7.53,471.73,433.37,108.14,14.24,433.37,342.62
A051910,LG화학,12,2014,Annual,3.78,13.30,5.81,354.74,313.90,106.16,9.67,313.90,234.89
A051910,LG화학,12,2015,Annual,5.68,18.14,9.02,493.52,419.39,109.92,12.22,419.39,312.04
A051910,LG화학,12,2016,Annual,6.20,19.67,9.64,539.09,449.21,110.67,12.23,449.21,346.72
A051910,LG화학,12,2017,Annual,7.87,21.65,11.40,769.73,673.91,112.86,16.87,673.91,511.31
A051910,LG화학,12,2018,Annual,5.39,18.97,7.97,573.85,495.66,108.66,11.53,495.66,376.24
A051910,LG화학,12,2019,Annual,1.37,17.13,3.02,210.88,146.76,103.11,3.31,146.76,80.06
A051910,LG화학,12,2020,Annual,2.27,21.02,6.01,461.25,243.12,106.39,5.26,243.12,130.97
A051910,LG화학,12,2021,Annual,9.28,26.33,11.80,"1,284.18","1,249.86",113.38,23.30,"1,249.86",937.59
A051910,LG화학,12,2022,Annual,4.31,19.34,5.84,761.19,709.82,106.21,9.16,709.82,471.47
A028260,삼성물산,12,2011,Annual,11.01,19.19,8.23,"1,769.12","3,341.79",108.97,10.32,"3,341.79","2,367.96"
A028260,삼성물산,12,2012,Annual,5.20,16.06,2.56,553.96,866.13,102.63,2.86,866.13,"1,127.16"
A028260,삼성물산,12,2013,Annual,1.40,18.10,3.44,888.74,36.68,103.57,0.12,36.68,361.73
A028260,삼성물산,12,2014,Annual,8.87,31.83,4.16,"1,641.63","1,129.76",104.34,3.18,"1,129.76","3,504.98"
A028260,삼성물산,12,2015,Annual,20.13,16.08,0.28,227.62,"17,012.45",100.28,23.52,"17,012.45","16,835.21"
A028260,삼성물산,12,2016,Annual,0.07,11.86,0.50,729.28,469.27,100.50,0.46,469.27,561.15
A028260,삼성물산,12,2017,Annual,1.64,12.47,3.01,"4,606.31","4,312.26",103.10,3.57,"4,312.26","3,344.17"
A028260,삼성물산,12,2018,Annual,5.61,12.79,3.54,"5,769.94","12,454.36",103.67,9.99,"12,454.36","8,952.61"
A028260,삼성물산,12,2019,Annual,3.41,12.36,2.82,"4,530.53","7,979.21",102.90,6.20,"7,979.21","5,488.66"
A028260,삼성물산,12,2020,Annual,3.84,11.14,2.84,"4,512.94","7,714.75",102.92,4.91,"7,714.75","5,452.38"
A028260,삼성물산,12,2021,Annual,5.31,11.67,3.47,"6,344.25","13,158.09",103.60,7.48,"13,158.09","8,673.31"
A028260,삼성물산,12,2022,Annual,5.90,13.99,5.86,"13,412.89","17,688.54",106.22,10.21,"17,688.54","10,843.09"
A012330,현대모비스,12,2011,Annual,11.51,15.36,10.03,537.02,827.33,111.15,32.83,827.33,615.55
A012330,현대모비스,12,2012,Annual,11.50,14.76,9.44,591.82,938.16,110.42,29.88,938.16,724.61
A012330,현대모비스,12,2013,Annual,9.93,14.07,8.55,595.49,923.35,109.35,24.36,923.35,696.71
A012330,현대모비스,12,2014,Annual,9.66,14.58,8.94,639.64,948.70,109.82,21.43,948.70,696.89
A012330,현대모비스,12,2015,Annual,8.44,14.29,8.15,597.56,857.81,108.87,17.21,857.81,622.16
A012330,현대모비스,12,2016,Annual,7.96,13.84,7.59,591.47,837.14,108.22,15.16,837.14,618.57
A012330,현대모비스,12,2017,Annual,4.43,12.71,5.76,412.33,556.79,106.11,9.44,556.79,319.32
A012330,현대모비스,12,2018,Annual,5.37,12.99,5.76,412.33,503.95,106.11,8.24,503.95,384.61
A012330,현대모비스,12,2019,Annual,6.03,13.74,6.20,480.41,654.51,106.61,10.19,654.51,466.44
A012330,현대모비스,12,2020,Annual,4.17,12.84,5.00,372.70,431.28,105.26,6.44,431.28,311.37
A012330,현대모비스,12,2021,Annual,5.67,12.62,4.89,415.42,650.49,105.14,9.30,650.49,478.99
A012330,현대모비스,12,2022,Annual,4.79,11.53,3.90,412.65,684.72,104.06,9.19,684.72,506.06
A055550,신한지주,12,2011,Annual,16.88,36.52,21.52,159.42,160.19,127.42,15.51,160.19,118.44
A055550,신한지주,12,2012,Annual,12.67,35.49,16.16,120.15,122.14,119.27,11.59,122.14,87.78
A055550,신한지주,12,2013,Annual,8.87,28.51,11.36,99.51,101.19,112.82,9.11,101.19,71.78
A055550,신한지주,12,2014,Annual,9.78,30.18,11.80,100.37,108.41,113.38,9.50,108.41,78.68
A055550,신한지주,12,2015,Annual,10.59,28.99,12.88,112.40,118.73,114.78,10.08,118.73,89.49
A055550,신한지주,12,2016,Annual,12.67,32.33,13.95,117.53,119.86,116.21,9.98,119.86,104.90
A055550,신한지주,12,2017,Annual,12.29,32.69,15.97,144.80,143.57,119.00,11.60,143.57,110.35
A055550,신한지주,12,2018,Annual,13.43,36.03,18.90,170.11,168.87,123.30,12.70,168.87,119.34
A055550,신한지주,12,2019,Annual,12.14,32.45,16.82,187.68,182.67,120.22,12.50,182.67,126.58
A055550,신한지주,12,2020,Annual,12.06,34.08,17.00,172.91,166.74,120.48,10.77,166.74,119.77
A055550,신한지주,12,2021,Annual,14.34,37.56,20.76,200.43,188.02,126.19,11.65,188.02,135.34
A055550,신한지주,12,2022,Annual,15.02,33.48,18.66,198.86,214.39,122.93,12.37,214.39,157.11
A003670,포스코퓨처엠,12,2011,Annual,7.69,14.44,10.06,404.78,407.65,111.18,41.93,407.65,310.80
A003670,포스코퓨처엠,12,2012,Annual,5.82,11.77,7.10,311.67,329.41,107.65,26.76,329.41,255.70
A003670,포스코퓨처엠,12,2013,Annual,4.36,9.89,5.58,251.45,258.79,105.91,17.97,258.79,198.81
A003670,포스코퓨처엠,12,2014,Annual,5.35,11.14,6.93,321.51,320.94,107.44,19.60,320.94,245.93
A003670,포스코퓨처엠,12,2015,Annual,2.63,9.20,4.59,189.65,156.56,104.81,8.78,156.56,117.08
A003670,포스코퓨처엠,12,2016,Annual,3.98,12.60,7.64,288.95,219.28,108.27,11.69,219.28,147.94
A003670,포스코퓨처엠,12,2017,Annual,8.68,12.99,8.68,351.99,425.12,109.51,20.56,425.12,350.66
A003670,포스코퓨처엠,12,2018,Annual,9.59,12.00,7.68,359.91,597.93,108.32,25.04,597.93,447.46
A003670,포스코퓨처엠,12,2019,Annual,6.82,11.22,6.06,299.37,376.34,106.45,12.80,376.34,336.63
A003670,포스코퓨처엠,12,2020,Annual,1.90,9.22,3.85,197.64,113.92,104.00,3.42,113.92,96.98
A003670,포스코퓨처엠,12,2021,Annual,6.72,11.97,6.12,351.53,421.90,106.51,8.44,421.90,387.60
A003670,포스코퓨처엠,12,2022,Annual,3.69,10.14,5.02,428.26,345.83,105.29,5.26,345.83,305.35
A035720,카카오,12,2011,Annual,25.63,100.00,27.72,"1,735.10","1,893.79",138.34,31.37,"1,893.79","1,612.10"
A035720,카카오,12,2012,Annual,16.90,100.00,22.44,"1,498.66","1,485.34",128.94,20.66,"1,485.34","1,123.41"
A035720,카카오,12,2013,Annual,29.13,100.00,31.24,473.77,434.32,145.44,17.32,434.32,441.79
A035720,카카오,12,2014,Annual,30.03,100.00,35.37,704.05,673.73,154.72,12.79,673.73,599.01
A035720,카카오,12,2015,Annual,8.45,100.00,9.50,299.19,369.96,110.50,4.34,369.96,255.54
A035720,카카오,12,2016,Annual,4.47,100.00,7.93,363.17,313.64,108.61,3.19,313.64,180.36
A035720,카카오,12,2017,Annual,6.34,100.00,8.38,487.40,451.79,109.15,3.75,451.79,320.05
A035720,카카오,12,2018,Annual,0.66,100.00,3.02,192.61,345.01,103.11,2.59,345.01,126.43
A035720,카카오,12,2019,Annual,-11.27,100.00,6.59,476.28,-562.63,107.05,-4.21,-562.63,-718.01
A035720,카카오,12,2020,Annual,4.15,100.00,11.07,"1,030.20",935.11,112.44,6.22,935.11,346.67
A035720,카카오,12,2021,Annual,27.76,100.00,9.95,"1,321.96","5,141.94",111.05,21.80,"5,141.94","3,119.61"
A035720,카카오,12,2022,Annual,15.69,100.00,8.37,"1,276.19","2,844.09",109.14,9.37,"2,844.09","3,043.76"
A032830,삼성생명,3,2011,Annual,4.18,32.55,4.68,"1,061.22","1,176.23",104.91,6.95,"1,176.23",948.40
A032830,삼성생명,3,2012,Annual,3.31,25.12,4.06,"1,234.65","1,270.30",104.24,6.37,"1,270.30","1,006.87"
A032830,삼성생명,12,2013,Annual,3.03,26.72,2.81,542.61,758.55,102.89,3.72,758.55,586.96
A032830,삼성생명,12,2014,Annual,4.87,27.09,5.12,"1,405.53","1,603.46",105.40,7.76,"1,603.46","1,337.49"
A032830,삼성생명,12,2015,Annual,4.37,27.03,4.15,"1,148.49","1,371.51",104.32,5.96,"1,371.51","1,211.23"
A032830,삼성생명,12,2016,Annual,7.07,24.74,3.24,986.52,"2,607.48",103.35,10.02,"2,607.48","2,054.27"
A032830,삼성생명,12,2017,Annual,3.95,28.22,5.29,"1,690.61","1,682.77",105.59,5.66,"1,682.77","1,166.12"
A032830,삼성생명,12,2018,Annual,5.38,30.05,8.01,"2,583.31","2,365.70",108.71,7.68,"2,365.70","1,664.38"
A032830,삼성생명,12,2019,Annual,3.31,32.06,3.94,"1,252.58","1,426.79",104.10,4.21,"1,426.79",977.39
A032830,삼성생명,12,2020,Annual,3.97,31.34,5.18,"1,790.05","1,814.66",105.47,4.48,"1,814.66","1,265.77"
A032830,삼성생명,12,2021,Annual,4.55,31.80,4.85,"1,701.02","2,034.22",105.10,4.89,"2,034.22","1,469.44"
A032830,삼성생명,12,2022,Annual,6.71,38.35,6.34,"2,180.73","2,440.46",106.77,6.01,"2,440.46","2,170.15"
A086790,하나금융지주,12,2011,Annual,6.04,14.86,8.03,152.34,150.88,108.73,12.45,150.88,107.49
A086790,하나금융지주,12,2012,Annual,6.59,17.51,7.68,166.00,163.93,108.32,11.33,163.93,133.43
A086790,하나금융지주,12,2013,Annual,3.90,17.60,4.57,87.44,95.34,104.79,6.16,95.34,70.09
A086790,하나금융지주,12,2014,Annual,3.51,16.81,4.45,85.79,86.42,104.66,5.86,86.42,64.69
A086790,하나금융지주,12,2015,Annual,2.80,13.34,2.97,68.99,81.68,103.06,5.33,81.68,62.11
A086790,하나금융지주,12,2016,Annual,4.04,13.27,4.66,109.06,122.97,104.89,7.85,122.97,89.90
A086790,하나금융지주,12,2017,Annual,5.40,13.00,6.94,183.66,189.10,107.46,11.61,189.10,137.62
A086790,하나금융지주,12,2018,Annual,7.00,17.34,9.69,211.47,211.31,110.73,12.13,211.31,149.83
A086790,하나금융지주,12,2019,Annual,6.32,15.04,8.49,217.07,227.03,109.28,12.15,227.03,159.31
A086790,하나금융지주,12,2020,Annual,5.57,13.36,7.96,255.56,248.42,108.64,12.31,248.42,175.67
A086790,하나금융지주,12,2021,Annual,8.59,17.84,11.11,308.49,326.73,112.50,14.62,326.73,234.88
A086790,하나금융지주,12,2022,Annual,5.18,12.82,6.67,312.30,329.29,107.15,13.52,329.29,237.85
A138040,메리츠금융지주,3,2011,Annual,11.78,4.39,5.16,358.72,883.33,105.44,34.73,883.33,754.75
A138040,메리츠금융지주,3,2012,Annual,2.10,5.22,2.89,328.27,327.48,102.97,10.03,327.48,101.56
A138040,메리츠금융지주,12,2013,Annual,2.95,5.77,3.85,348.81,357.23,104.01,9.46,357.23,125.55
A138040,메리츠금융지주,12,2014,Annual,3.11,6.77,3.57,423.31,475.72,103.70,11.88,475.72,180.58
A138040,메리츠금융지주,12,2015,Annual,4.34,6.31,6.05,863.39,859.29,106.44,18.52,859.29,285.24
A138040,메리츠금융지주,12,2016,Annual,4.23,6.35,5.57,963.61,961.82,105.90,18.05,961.82,353.74
A138040,메리츠금융지주,12,2017,Annual,5.60,6.64,7.44,"1,404.93","1,433.83",108.04,23.23,"1,433.83",518.03
A138040,메리츠금융지주,12,2018,Annual,3.72,6.61,4.66,"1,123.18","1,219.26",104.89,16.94,"1,219.26",439.75
A138040,메리츠금융지주,12,2019,Annual,3.53,5.72,4.31,"1,347.02","1,536.39",104.51,19.23,"1,536.39",557.61
A138040,메리츠금융지주,12,2020,Annual,3.25,4.62,4.82,"1,920.53","1,804.40",105.06,20.08,"1,804.40",685.46
A138040,메리츠금융지주,12,2021,Annual,3.88,4.04,5.04,"2,512.52","2,656.17",105.31,27.58,"2,656.17","1,104.69"
