Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익증가율(전년동기)(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A277810,레인보우로보틱스,12,2011,Annual,,,,,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,,,,,
A277810,레인보우로보틱스,12,2016,Annual,19.35,,19.90,,,124.84,,,
A277810,레인보우로보틱스,12,2017,Annual,15.50,27.70,21.19,740.85,480.06,126.89,6.38,480.06,551.54
A277810,레인보우로보틱스,12,2018,Annual,-308.64,-77.45,-318.01,-102.00,-99.00,23.92,-24.98,-99.00,-98.88
A277810,레인보우로보틱스,12,2019,Annual,-324.55,46.61,-318.91,-84.05,-83.42,23.87,-54.39,-83.42,-85.53
A277810,레인보우로보틱스,12,2020,Annual,-25.92,206.63,-24.85,-20.98,-21.89,80.09,-19.22,-21.89,-21.88
A277810,레인보우로보틱스,12,2021,Annual,-87.46,60.69,-11.49,-14.03,-106.77,89.69,-28.79,-106.77,-106.75
A277810,레인보우로보틱스,12,2022,Annual,42.41,57.26,9.55,15.59,36.78,110.56,5.61,36.78,69.22
A039030,이오테크닉스,12,2011,Annual,11.53,-36.33,10.17,255.53,312.22,111.32,11.15,312.22,282.91
A039030,이오테크닉스,12,2012,Annual,14.50,48.90,18.01,560.77,545.68,121.97,17.42,545.68,447.37
A039030,이오테크닉스,12,2013,Annual,14.86,10.50,18.56,704.20,741.86,122.80,20.55,741.86,556.52
A039030,이오테크닉스,12,2014,Annual,14.02,28.64,18.77,924.71,871.58,123.11,20.64,871.58,683.54
A039030,이오테크닉스,12,2015,Annual,9.15,-31.33,10.57,465.26,503.43,111.82,10.56,503.43,395.34
A039030,이오테크닉스,12,2016,Annual,6.32,-15.14,6.91,346.36,313.73,107.42,6.14,313.73,311.64
A039030,이오테크닉스,12,2017,Annual,10.64,67.53,14.84,976.81,854.07,117.43,15.34,854.07,697.45
A039030,이오테크닉스,12,2018,Annual,7.44,-35.71,6.07,290.85,333.42,106.47,5.53,333.42,355.59
A039030,이오테크닉스,12,2019,Annual,5.74,-23.38,3.44,115.45,240.44,103.56,3.83,240.44,196.76
A039030,이오테크닉스,12,2020,Annual,6.63,71.10,11.84,624.79,496.94,113.43,7.62,496.94,346.59
A039030,이오테크닉스,12,2021,Annual,18.51,65.59,19.99,"1,268.49","1,506.29",124.99,20.74,"1,506.29","1,166.91"
A039030,이오테크닉스,12,2022,Annual,17.27,16.90,20.75,"1,506.53","1,635.94",126.19,19.68,"1,635.94","1,242.31"
A065350,신성델타테크,12,2011,Annual,-1.21,-7.73,2.26,98.89,32.59,102.31,2.61,32.59,-43.76
A065350,신성델타테크,12,2012,Annual,0.93,19.65,3.34,108.08,82.63,103.46,8.72,82.63,44.38
A065350,신성델타테크,12,2013,Annual,2.11,-6.38,2.37,74.91,80.54,102.43,8.24,80.54,64.82
A065350,신성델타테크,12,2014,Annual,0.72,-17.53,1.16,34.37,29.02,101.17,2.91,29.02,19.35
A065350,신성델타테크,12,2015,Annual,1.16,69.08,2.13,79.91,73.58,102.17,7.38,73.58,58.42
A065350,신성델타테크,12,2016,Annual,0.25,10.35,3.18,122.82,29.54,103.29,2.98,29.54,13.25
A065350,신성델타테크,12,2017,Annual,2.66,14.22,3.92,170.77,158.15,104.08,15.42,158.15,114.93
A065350,신성델타테크,12,2018,Annual,0.92,-13.38,2.98,117.78,50.72,103.07,4.69,50.72,36.32
A065350,신성델타테크,12,2019,Annual,1.18,-2.54,2.57,99.86,67.71,102.64,6.15,67.71,50.79
A065350,신성델타테크,12,2020,Annual,1.80,-4.85,2.71,103.44,82.71,102.79,7.22,82.71,67.11
A065350,신성델타테크,12,2021,Annual,4.43,101.98,4.75,254.98,309.94,104.99,23.82,309.94,178.38
A065350,신성델타테크,12,2022,Annual,3.01,-1.89,4.04,233.04,214.36,104.21,14.37,214.36,123.18
A005290,동진쎄미켐,12,2011,Annual,-1.47,-25.92,1.92,41.68,-33.49,101.95,-5.15,-33.49,-35.12
A005290,동진쎄미켐,12,2012,Annual,1.26,47.27,4.79,130.12,55.88,105.03,8.76,55.88,29.32
A005290,동진쎄미켐,12,2013,Annual,0.58,11.41,3.58,111.46,36.50,103.71,5.63,36.50,15.92
A005290,동진쎄미켐,12,2014,Annual,1.59,16.90,5.64,179.52,67.59,105.97,10.25,67.59,48.47
A005290,동진쎄미켐,12,2015,Annual,2.81,28.16,8.24,263.31,110.93,108.98,15.92,110.93,89.08
A005290,동진쎄미켐,12,2016,Annual,3.45,-4.07,5.94,192.82,137.21,106.31,17.59,137.21,110.26
A005290,동진쎄미켐,12,2017,Annual,5.73,19.81,9.16,290.98,234.51,110.08,24.95,234.51,181.30
A005290,동진쎄미켐,12,2018,Annual,5.80,3.53,8.58,276.13,240.13,109.39,21.53,240.13,185.57
A005290,동진쎄미켐,12,2019,Annual,6.71,21.85,11.98,407.93,342.63,113.61,26.44,342.63,227.67
A005290,동진쎄미켐,12,2020,Annual,9.09,17.56,13.46,491.14,474.42,115.56,30.55,474.42,331.62
A005290,동진쎄미켐,12,2021,Annual,8.86,9.60,11.35,512.75,528.24,112.80,27.19,528.24,401.69
A005290,동진쎄미켐,12,2022,Annual,10.72,40.23,14.84,841.43,820.64,117.43,33.44,820.64,620.37
A214150,클래시스,12,2011,Annual,,,,,,,,,
A214150,클래시스,12,2012,Annual,-1.41,,-1.37,,,98.65,,,
A214150,클래시스,12,2013,Annual,,,,,,,,,
A214150,클래시스,12,2014,Annual,,,,,,,,,
A214150,클래시스,12,2015,Annual,31.27,,26.52,,,136.09,,,
A214150,클래시스,12,2016,Annual,25.96,64.68,30.34,295.32,313.48,143.55,68.61,313.48,252.69
A214150,클래시스,12,2017,Annual,-14.71,29.98,30.98,187.14,-54.46,144.89,-12.23,-54.46,-88.84
A214150,클래시스,12,2018,Annual,31.30,43.77,36.81,285.46,290.52,158.24,41.30,290.52,242.76
A214150,클래시스,12,2019,Annual,41.16,83.91,51.41,660.29,660.68,205.80,60.07,660.68,528.65
A214150,클래시스,12,2020,Annual,49.91,-4.61,53.11,629.23,608.85,213.27,37.13,608.85,591.37
A214150,클래시스,12,2021,Annual,43.54,27.71,51.41,799.11,859.56,205.79,38.70,859.56,676.91
A214150,클래시스,12,2022,Annual,53.16,38.94,48.57,"1,063.78","1,494.41",194.45,49.20,"1,494.41","1,164.21"
A035900,JYP Ent.,6,2011,Annual,2.51,N/A(IFRS),4.50,N/A(IFRS),N/A(IFRS),104.72,N/A(IFRS),N/A(IFRS),N/A(IFRS)
A035900,JYP Ent.,12,2012,Annual,-65.52,76.11,-43.32,-54.87,-82.99,69.77,-63.42,-82.99,-78.12
A035900,JYP Ent.,12,2013,Annual,-18.50,132.14,-11.97,-17.47,-25.85,89.31,-12.43,-25.85,-25.40
A035900,JYP Ent.,12,2014,Annual,16.19,121.23,17.03,48.51,47.83,120.53,15.86,47.83,45.25
A035900,JYP Ent.,12,2015,Annual,6.38,-14.56,8.30,24.67,22.47,109.06,6.66,22.47,18.74
A035900,JYP Ent.,12,2016,Annual,11.58,74.67,18.75,81.14,76.77,123.08,20.76,76.77,49.23
A035900,JYP Ent.,12,2017,Annual,16.01,43.72,19.04,113.38,122.73,123.51,27.58,122.73,94.23
A035900,JYP Ent.,12,2018,Annual,19.45,43.00,23.03,163.42,171.67,129.92,28.26,171.67,135.54
A035900,JYP Ent.,12,2019,Annual,20.09,35.46,27.96,242.69,240.22,138.81,29.63,240.22,174.80
A035900,JYP Ent.,12,2020,Annual,20.52,1.08,30.57,245.98,211.72,144.02,21.79,211.72,164.60
A035900,JYP Ent.,12,2021,Annual,34.81,35.44,29.86,322.70,478.80,142.58,39.33,478.80,375.96
A035900,JYP Ent.,12,2022,Annual,19.52,50.32,27.94,538.53,524.54,138.77,33.91,524.54,376.09
A145020,휴젤,12,2011,Annual,43.17,104.52,52.73,887.74,879.59,211.54,136.85,879.59,726.80
A145020,휴젤,12,2012,Annual,28.63,12.19,38.98,777.54,751.38,163.87,52.67,751.38,571.07
A145020,휴젤,12,2013,Annual,25.05,41.90,39.71,"1,047.82",849.08,165.87,40.32,849.08,660.89
A145020,휴젤,12,2014,Annual,32.59,34.39,38.38,"1,391.74","1,403.21",162.30,44.89,"1,403.21","1,181.67"
A145020,휴젤,12,2015,Annual,55.11,35.62,27.29,"1,285.75","2,846.34",137.54,30.49,"2,846.34","2,456.66"
A145020,휴젤,12,2016,Annual,40.99,145.17,50.94,"3,852.57","3,918.02",203.83,26.31,"3,918.02","2,635.31"
A145020,휴젤,12,2017,Annual,44.68,50.54,55.98,"5,370.26","5,455.86",227.15,20.88,"5,455.86","3,837.17"
A145020,휴젤,12,2018,Annual,41.48,-7.55,33.00,"2,778.47","4,593.65",149.26,13.25,"4,593.65","3,218.88"
A145020,휴젤,12,2019,Annual,24.58,9.56,33.28,"3,102.62","3,177.31",149.89,9.12,"3,177.31","2,032.91"
A145020,휴젤,12,2020,Annual,21.47,3.36,36.99,"1,816.41","1,613.45",158.70,9.01,"1,613.45",977.13
A145020,휴젤,12,2021,Annual,26.05,19.02,41.24,"1,508.33","1,379.46",170.17,10.77,"1,379.46",910.73
A145020,휴젤,12,2022,Annual,21.54,23.59,35.99,"1,611.04","1,161.45",156.23,8.71,"1,161.45",911.08
A000250,삼천당제약,12,2011,Annual,7.30,-6.65,9.67,74.99,74.52,110.70,9.04,74.52,56.64
A000250,삼천당제약,12,2012,Annual,1.75,-7.57,7.77,59.59,60.26,108.43,7.06,60.26,13.40
A000250,삼천당제약,12,2013,Annual,7.26,48.69,15.19,158.77,96.06,117.91,9.33,96.06,87.24
A000250,삼천당제약,12,2014,Annual,14.52,15.29,15.93,184.57,194.95,118.95,15.46,194.95,115.44
A000250,삼천당제약,12,2015,Annual,13.53,10.33,15.72,196.38,197.10,118.65,14.18,197.10,109.98
A000250,삼천당제약,12,2016,Annual,10.59,9.81,16.53,225.34,209.60,119.80,13.93,209.60,80.59
A000250,삼천당제약,12,2017,Annual,12.76,7.20,14.93,217.37,218.36,117.54,13.20,218.36,113.49
A000250,삼천당제약,12,2018,Annual,9.12,-1.85,9.69,140.24,130.84,110.73,7.24,130.84,79.21
A000250,삼천당제약,12,2019,Annual,10.50,33.00,13.51,228.09,174.77,115.62,9.01,174.77,94.56
A000250,삼천당제약,12,2020,Annual,4.49,-15.05,3.31,49.23,147.80,103.42,6.90,147.80,-8.61
A000250,삼천당제약,12,2021,Annual,-6.19,-11.62,-9.14,-134.34,-171.72,91.62,-7.70,-171.72,-145.42
A000250,삼천당제약,12,2022,Annual,4.98,8.33,6.89,107.38,78.35,107.40,3.60,78.35,51.28
A357780,솔브레인,12,2011,Annual,,,,,,,,,
A357780,솔브레인,12,2012,Annual,,,,,,,,,
A357780,솔브레인,12,2013,Annual,,,,,,,,,
A357780,솔브레인,12,2014,Annual,,,,,,,,,
A357780,솔브레인,12,2015,Annual,,,,,,,,,
A357780,솔브레인,12,2016,Annual,,,,,,,,,
A357780,솔브레인,12,2017,Annual,,,,,,,,,
A357780,솔브레인,12,2018,Annual,,,,,,,,,
A357780,솔브레인,12,2019,Annual,,,,,,,,,
A357780,솔브레인,12,2020,Annual,13.80,,22.12,,,128.39,,,
A357780,솔브레인,12,2021,Annual,14.87,88.72,18.44,"4,855.41","5,225.22",122.61,35.02,"5,225.22","3,818.63"
A357780,솔브레인,12,2022,Annual,15.37,16.62,18.98,"5,323.62","5,539.40",123.43,29.69,"5,539.40","4,185.69"
A095340,ISC,12,2011,Annual,28.32,59.48,34.44,392.66,457.16,152.53,28.26,457.16,322.86
A095340,ISC,12,2012,Annual,19.45,16.19,34.70,478.86,367.09,153.15,19.86,367.09,268.36
A095340,ISC,12,2013,Annual,18.47,9.21,35.66,527.03,384.10,155.43,18.41,384.10,271.51
A095340,ISC,12,2014,Annual,10.98,5.30,23.28,363.14,295.19,130.34,13.03,295.19,221.36
A095340,ISC,12,2015,Annual,4.73,-0.78,16.50,261.66,177.80,119.76,7.51,177.80,175.79
A095340,ISC,12,2016,Annual,9.38,-11.93,11.50,166.56,185.35,112.99,7.49,185.35,152.10
A095340,ISC,12,2017,Annual,14.32,41.27,20.44,346.62,311.40,125.70,12.36,311.40,259.78
A095340,ISC,12,2018,Annual,11.93,-29.23,12.04,178.58,232.61,113.69,9.13,232.61,194.67
A095340,ISC,12,2019,Annual,3.63,-29.47,2.31,28.93,44.94,102.37,1.77,44.94,62.11
A095340,ISC,12,2020,Annual,4.52,75.63,14.85,255.66,143.22,117.43,5.77,143.22,89.09
A095340,ISC,12,2021,Annual,20.80,69.97,25.93,489.03,487.38,135.01,18.92,487.38,394.27
A095340,ISC,12,2022,Annual,24.56,34.36,31.24,658.52,732.12,145.44,25.33,732.12,517.98
A240810,원익IPS,12,2011,Annual,,,,,,,,,
A240810,원익IPS,12,2012,Annual,,,,,,,,,
A240810,원익IPS,12,2013,Annual,,,,,,,,,
A240810,원익IPS,12,2014,Annual,,,,,,,,,
A240810,원익IPS,12,2015,Annual,,,,,,,,,
A240810,원익IPS,12,2016,Annual,9.23,,11.77,,,113.34,,,
A240810,원익IPS,12,2017,Annual,15.12,170.01,19.38,592.40,602.18,124.04,46.68,602.18,462.11
A240810,원익IPS,12,2018,Annual,13.38,2.65,16.31,513.14,532.13,119.49,32.17,532.13,420.90
A240810,원익IPS,12,2019,Annual,6.40,8.22,6.14,182.02,192.40,106.55,9.29,192.40,189.75
A240810,원익IPS,12,2020,Annual,8.97,67.08,12.89,572.89,517.31,114.79,20.65,517.31,398.58
A240810,원익IPS,12,2021,Annual,11.78,1.15,13.32,668.77,771.28,115.37,25.86,771.28,591.30
A240810,원익IPS,12,2022,Annual,8.84,-12.59,9.64,397.50,478.11,110.67,14.05,478.11,364.43
A112040,위메이드,12,2011,Annual,22.51,5.80,17.64,456.08,592.31,121.42,8.15,592.31,520.51
A112040,위메이드,12,2012,Annual,-6.63,19.13,-1.65,-29.99,-72.36,98.38,-1.42,-72.36,-65.12
A112040,위메이드,12,2013,Annual,5.39,89.69,5.43,142.19,217.26,105.74,5.52,217.26,0.04
A112040,위메이드,12,2014,Annual,126.81,-28.47,-19.34,-362.43,"3,213.15",83.80,68.67,"3,213.15","2,440.23"
A112040,위메이드,12,2015,Annual,-97.89,-22.19,-9.21,-134.32,"-1,731.74",91.57,-34.05,"-1,731.74","-1,236.69"
A112040,위메이드,12,2016,Annual,-67.61,-14.70,3.83,47.59,"-1,020.63",103.98,-23.22,"-1,020.63",-817.46
A112040,위메이드,12,2017,Annual,-0.81,1.47,5.45,68.84,167.45,105.77,4.21,167.45,112.18
A112040,위메이드,12,2018,Annual,-38.19,15.98,-28.46,-416.61,-407.65,77.85,-11.46,-407.65,-152.40
A112040,위메이드,12,2019,Annual,-25.25,-10.57,-8.21,-107.49,-120.43,92.41,-4.10,-120.43,-115.25
A112040,위메이드,12,2020,Annual,-14.19,11.49,-9.83,-143.56,-164.12,91.05,-5.66,-164.12,-80.01
A112040,위메이드,12,2021,Annual,91.97,164.38,29.06,759.93,"3,058.58",140.97,85.85,"3,058.58","2,394.04"
A112040,위메이드,12,2022,Annual,-40.08,38.36,-18.33,-497.89,"-1,065.05",84.51,-30.85,"-1,065.05","-1,086.92"
A041510,에스엠,12,2011,Annual,14.39,26.72,17.91,311.36,302.96,121.82,27.36,302.96,259.10
A041510,에스엠,12,2012,Annual,15.23,94.16,25.09,654.59,609.65,133.49,33.48,609.65,429.25
A041510,에스엠,12,2013,Annual,6.69,-10.03,15.09,394.75,404.43,117.77,16.61,404.43,183.01
A041510,에스엠,12,2014,Annual,0.64,3.55,11.96,332.53,284.11,113.59,10.71,284.11,58.09
A041510,에스엠,12,2015,Annual,5.71,9.80,11.93,370.78,296.61,113.55,10.16,296.61,209.29
A041510,에스엠,12,2016,Annual,1.21,-8.87,5.92,194.52,212.31,106.29,6.47,212.31,34.28
A041510,에스엠,12,2017,Annual,-1.29,13.83,2.99,100.58,224.36,103.09,6.02,224.36,39.79
A041510,에스엠,12,2018,Annual,3.83,74.15,7.80,426.47,410.65,108.46,9.09,410.65,273.28
A041510,에스엠,12,2019,Annual,-2.46,6.37,6.14,347.69,94.34,106.54,1.81,94.34,-78.34
A041510,에스엠,12,2020,Annual,-13.85,-7.81,1.12,55.40,-346.01,101.13,-6.50,-346.01,-598.35
A041510,에스엠,12,2021,Annual,18.99,33.00,9.62,572.22,"1,467.31",110.65,24.65,"1,467.31","1,131.73"
A041510,에스엠,12,2022,Annual,9.64,11.60,10.70,765.57,983.48,111.98,13.96,983.48,672.88
A263750,펄어비스,12,2011,Annual,,,,,,,,,
A263750,펄어비스,12,2012,Annual,,,,,,,,,
A263750,펄어비스,12,2013,Annual,,,,,,,,,
A263750,펄어비스,12,2014,Annual,,,,,,,,,
A263750,펄어비스,12,2015,Annual,47.12,,55.22,,,223.31,,,
A263750,펄어비스,6,2016,Annual,72.50,55.23,83.47,"7,817.33","7,894.03",604.99,324.34,"7,894.03","6,789.70"
