Symbol,Name,결산월,회계년,주기,현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/총자본(%),현금흐름/영업수익(%)
A214150,클래시스,12,2019,Annual,138.14,274.91,50.08,42.88
A214150,클래시스,12,2020,Annual,203.74,784.68,38.03,52.64
A214150,클래시스,12,2021,Annual,139.53,256.01,32.23,46.05
A214150,클래시스,12,2022,Annual,102.63,152.89,40.31,55.91
A035900,JYP Ent.,6,2011,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),8.06
A035900,JYP Ent.,12,2012,Annual,-118.50,-258.95,-56.91,-58.79
A035900,JYP Ent.,12,2013,Annual,-20.03,-57.86,-10.79,-15.39
A035900,JYP Ent.,12,2014,Annual,40.66,178.34,15.94,16.87
A035900,JYP Ent.,12,2015,Annual,34.14,277.10,9.88,11.21
A035900,JYP Ent.,12,2016,Annual,62.20,,17.20,14.70
A035900,JYP Ent.,12,2017,Annual,65.35,,24.89,18.60
A035900,JYP Ent.,12,2018,Annual,71.39,,23.40,20.03
A035900,JYP Ent.,12,2019,Annual,90.73,"3,225.13",24.02,22.43
A035900,JYP Ent.,12,2020,Annual,80.79,"1,375.73",19.28,23.27
A035900,JYP Ent.,12,2021,Annual,138.13,"2,839.07",33.03,37.21
A035900,JYP Ent.,12,2022,Annual,84.81,"2,512.83",26.49,21.26
A145020,휴젤,12,2011,Annual,117.02,144.02,124.43,47.50
A145020,휴젤,12,2012,Annual,116.24,189.75,45.72,32.69
A145020,휴젤,12,2013,Annual,28.08,39.26,33.85,27.02
A145020,휴젤,12,2014,Annual,26.02,36.18,39.55,34.10
A145020,휴젤,12,2015,Annual,97.26,180.05,27.52,54.53
A145020,휴젤,12,2016,Annual,248.21,"5,656.68",19.66,38.72
A145020,휴젤,12,2017,Annual,129.02,199.29,16.05,43.71
A145020,휴젤,12,2018,Annual,65.31,87.33,10.28,42.34
A145020,휴젤,12,2019,Annual,38.11,52.70,7.08,26.45
A145020,휴젤,12,2020,Annual,33.70,47.54,6.85,24.97
A145020,휴젤,12,2021,Annual,42.02,61.18,8.87,31.07
A145020,휴젤,12,2022,Annual,37.45,58.88,8.50,25.32
A000250,삼천당제약,12,2011,Annual,52.19,"1,003.61",9.20,9.78
A000250,삼천당제약,12,2012,Annual,14.67,40.99,4.29,4.77
A000250,삼천당제약,12,2013,Annual,35.86,73.23,12.47,12.28
A000250,삼천당제약,12,2014,Annual,46.20,142.65,12.31,13.39
A000250,삼천당제약,12,2015,Annual,50.50,324.58,10.78,12.00
A000250,삼천당제약,12,2016,Annual,43.93,242.36,8.65,9.55
A000250,삼천당제약,12,2017,Annual,53.24,304.74,10.29,11.69
A000250,삼천당제약,12,2018,Annual,32.81,118.13,7.54,9.41
A000250,삼천당제약,12,2019,Annual,27.70,77.00,7.90,9.08
A000250,삼천당제약,12,2020,Annual,9.05,22.46,2.38,3.43
A000250,삼천당제약,12,2021,Annual,-12.83,-24.97,-3.86,-5.87
A000250,삼천당제약,12,2022,Annual,12.22,21.05,5.44,7.61
A357780,솔브레인,12,2011,Annual,,,,
A357780,솔브레인,12,2012,Annual,,,,
A357780,솔브레인,12,2013,Annual,,,,
A357780,솔브레인,12,2014,Annual,,,,
A357780,솔브레인,12,2015,Annual,,,,
A357780,솔브레인,12,2016,Annual,,,,
A357780,솔브레인,12,2017,Annual,,,,
A357780,솔브레인,12,2018,Annual,,,,
A357780,솔브레인,12,2019,Annual,,,,
A357780,솔브레인,12,2020,Annual,,,,18.58
A357780,솔브레인,12,2021,Annual,101.85,325.09,33.96,19.25
A357780,솔브레인,12,2022,Annual,137.47,"1,639.72",29.69,19.75
A095340,ISC,12,2011,Annual,130.84,407.45,22.92,32.53
A095340,ISC,12,2012,Annual,84.10,211.90,18.21,24.40
A095340,ISC,12,2013,Annual,75.16,182.12,15.96,22.53
A095340,ISC,12,2014,Annual,51.86,89.83,16.36,23.75
A095340,ISC,12,2015,Annual,53.26,94.59,16.05,23.96
A095340,ISC,12,2016,Annual,51.70,115.14,11.65,19.89
A095340,ISC,12,2017,Annual,72.04,194.73,15.76,23.41
A095340,ISC,12,2018,Annual,57.40,157.94,12.83,22.03
A095340,ISC,12,2019,Annual,46.08,105.09,8.89,18.07
A095340,ISC,12,2020,Annual,31.28,52.57,8.62,12.43
A095340,ISC,12,2021,Annual,75.76,136.03,20.30,27.73
A095340,ISC,12,2022,Annual,89.02,208.78,23.51,32.24
A240810,원익IPS,12,2011,Annual,,,,
A240810,원익IPS,12,2012,Annual,,,,
A240810,원익IPS,12,2013,Annual,,,,
A240810,원익IPS,12,2014,Annual,,,,
A240810,원익IPS,12,2015,Annual,,,,
A240810,원익IPS,12,2016,Annual,,,,13.81
A240810,원익IPS,12,2017,Annual,142.40,936.76,42.23,17.82
A240810,원익IPS,12,2018,Annual,88.02,"1,002.96",30.85,16.22
A240810,원익IPS,12,2019,Annual,32.51,590.97,16.53,11.55
A240810,원익IPS,12,2020,Annual,35.42,"1,415.01",22.16,12.49
A240810,원익IPS,12,2021,Annual,45.57,"8,657.20",25.00,14.85
A240810,원익IPS,12,2022,Annual,42.08,"5,266.84",15.58,12.86
A112040,위메이드,12,2011,Annual,86.18,"19,560.33",9.22,25.93
A112040,위메이드,12,2012,Annual,15.01,"2,460.49",1.13,3.15
A112040,위메이드,12,2013,Annual,43.71,,3.01,4.52
A112040,위메이드,12,2014,Annual,450.42,,55.02,137.34
A112040,위메이드,12,2015,Annual,-127.14,"-2,031.59",-21.96,-76.58
A112040,위메이드,12,2016,Annual,-93.83,-594.28,-16.46,-58.15
A112040,위메이드,12,2017,Annual,19.29,125.13,4.65,14.65
A112040,위메이드,12,2018,Annual,-9.04,-57.61,-2.73,-6.63
A112040,위메이드,12,2019,Annual,-8.20,-34.88,-2.20,-4.93
A112040,위메이드,12,2020,Annual,-6.40,-38.27,-1.45,-2.89
A112040,위메이드,12,2021,Annual,142.16,"1,387.89",67.97,92.61
A112040,위메이드,12,2022,Annual,-26.08,-148.44,-28.32,-35.99
A041510,에스엠,12,2011,Annual,52.72,300.29,30.79,19.61
A041510,에스엠,12,2012,Annual,63.92,509.45,29.24,20.41
A041510,에스엠,12,2013,Annual,26.24,238.58,11.29,10.51
A041510,에스엠,12,2014,Annual,16.78,133.69,6.95,6.64
A041510,에스엠,12,2015,Annual,36.05,140.88,14.14,13.27
A041510,에스엠,12,2016,Annual,18.98,53.01,7.76,7.75
A041510,에스엠,12,2017,Annual,10.30,45.68,6.49,7.21
A041510,에스엠,12,2018,Annual,17.91,125.60,13.96,11.53
A041510,에스엠,12,2019,Annual,12.02,74.99,9.04,8.31
A041510,에스엠,12,2020,Annual,0.34,2.13,0.25,0.27
A041510,에스엠,12,2021,Annual,40.34,231.07,28.13,28.16
A041510,에스엠,12,2022,Annual,25.53,127.10,16.82,16.55
A263750,펄어비스,12,2011,Annual,,,,
A263750,펄어비스,12,2012,Annual,,,,
A263750,펄어비스,12,2013,Annual,,,,
A263750,펄어비스,12,2014,Annual,,,,
A263750,펄어비스,12,2015,Annual,,,,50.03
A263750,펄어비스,6,2016,Annual,107.62,394.83,283.46,73.67
A263750,펄어비스,6,2017,Annual,226.46,"1,476.44",103.64,55.99
A263750,펄어비스,12,2018,Annual,92.82,171.59,44.28,37.37
A263750,펄어비스,12,2019,Annual,60.05,107.23,35.11,32.66
A263750,펄어비스,12,2020,Annual,45.58,89.88,20.03,25.12
A263750,펄어비스,12,2021,Annual,18.65,35.83,12.35,20.73
A263750,펄어비스,12,2022,Annual,-2.98,-5.14,-2.44,-4.49
A036930,주성엔지니어링,12,2011,Annual,-1.11,-1.87,-1.57,-1.08
A036930,주성엔지니어링,12,2012,Annual,-33.59,-43.16,-56.72,-122.95
A036930,주성엔지니어링,12,2013,Annual,-9.64,-12.30,-23.06,-17.21
A036930,주성엔지니어링,12,2014,Annual,-4.38,-5.85,-10.00,-7.23
A036930,주성엔지니어링,12,2015,Annual,9.31,15.21,16.39,10.33
A036930,주성엔지니어링,12,2016,Annual,23.93,67.02,34.10,16.66
A036930,주성엔지니어링,12,2017,Annual,33.56,191.77,30.99,18.99
A036930,주성엔지니어링,12,2018,Annual,37.70,142.22,27.63,20.41
A036930,주성엔지니어링,12,2019,Annual,19.95,44.83,16.38,14.19
A036930,주성엔지니어링,12,2020,Annual,2.50,6.04,2.83,5.56
A036930,주성엔지니어링,12,2021,Annual,48.43,153.43,53.86,42.62
A036930,주성엔지니어링,12,2022,Annual,35.75,172.09,28.91,28.19
A293490,카카오게임즈,12,2011,Annual,,,,
A293490,카카오게임즈,12,2012,Annual,,,,
A293490,카카오게임즈,12,2013,Annual,,,,
A293490,카카오게임즈,12,2014,Annual,,,,
A293490,카카오게임즈,12,2015,Annual,,,,"-1,248.87"
A293490,카카오게임즈,12,2016,Annual,19.47,59.39,34.65,10.41
A293490,카카오게임즈,12,2017,Annual,68.18,"3,047.27",51.57,33.64
A293490,카카오게임즈,12,2018,Annual,22.82,"1,659.94",9.88,7.18
A293490,카카오게임즈,12,2019,Annual,19.00,170.58,6.92,7.37
A293490,카카오게임즈,12,2020,Annual,47.16,199.33,15.00,21.84
A293490,카카오게임즈,12,2021,Annual,52.73,156.11,33.19,56.49
A293490,카카오게임즈,12,2022,Annual,-7.50,-14.51,-6.33,-12.23
A141080,레고켐바이오,12,2011,Annual,-66.54,-143.43,-223.07,"-3,769.21"
A141080,레고켐바이오,12,2012,Annual,-85.94,"-4,726.04",-69.42,-349.24
A141080,레고켐바이오,12,2013,Annual,-129.97,"-1,024.22",-52.38,-668.50
A141080,레고켐바이오,12,2014,Annual,-88.83,-164.85,-43.76,-958.77
A141080,레고켐바이오,12,2015,Annual,-40.25,-75.78,-24.81,-438.52
A141080,레고켐바이오,12,2016,Annual,-45.93,-98.02,-24.36,-75.49
A141080,레고켐바이오,12,2017,Annual,-33.07,-70.39,-18.80,-46.67
A141080,레고켐바이오,12,2018,Annual,-93.52,-302.05,-29.71,-91.09
A141080,레고켐바이오,12,2019,Annual,83.18,"1,597.21",15.78,30.35
A141080,레고켐바이오,12,2020,Annual,-16.18,-129.34,-3.50,-8.08
A141080,레고켐바이오,12,2021,Annual,-69.85,-250.28,-10.97,-63.26
A141080,레고켐바이오,12,2022,Annual,-121.60,-334.24,-17.13,-122.63
A067630,HLB생명과학,12,2011,Annual,-6.72,-8.73,-24.81,-9.68
A067630,HLB생명과학,12,2012,Annual,-18.58,-24.23,-72.12,-89.27
A067630,HLB생명과학,12,2013,Annual,-9.25,-14.22,-38.92,-17.63
A067630,HLB생명과학,12,2014,Annual,6.79,12.06,15.85,5.31
A067630,HLB생명과학,12,2015,Annual,-88.84,-192.25,-83.01,-59.75
A067630,HLB생명과학,12,2016,Annual,-2.52,-6.28,-3.37,-2.14
A067630,HLB생명과학,12,2017,Annual,15.97,46.75,20.07,7.59
A067630,HLB생명과학,12,2018,Annual,-16.90,-33.96,-13.78,-17.41
A067630,HLB생명과학,12,2019,Annual,-4.84,-10.79,-2.11,-5.00
A067630,HLB생명과학,12,2020,Annual,-97.38,-458.29,-17.21,-58.33
A067630,HLB생명과학,12,2021,Annual,-146.66,-582.90,-17.47,-87.24
A067630,HLB생명과학,12,2022,Annual,-49.08,-64.51,-20.33,-49.26
A035760,CJ ENM,12,2011,Annual,20.69,34.54,49.66,16.29
A035760,CJ ENM,12,2012,Annual,25.05,46.93,43.38,17.30
A035760,CJ ENM,12,2013,Annual,22.69,38.74,35.76,14.98
A035760,CJ ENM,12,2014,Annual,21.20,33.66,32.64,15.26
A035760,CJ ENM,12,2015,Annual,21.25,33.87,28.63,16.23
A035760,CJ ENM,12,2016,Annual,19.17,33.29,21.41,13.15
A035760,CJ ENM,12,2017,Annual,27.73,53.21,26.38,16.61
A035760,CJ ENM,12,2018,Annual,29.65,52.77,28.07,29.19
A035760,CJ ENM,12,2019,Annual,30.76,65.29,26.24,22.78
A035760,CJ ENM,12,2020,Annual,23.17,57.96,15.96,16.32
A035760,CJ ENM,12,2021,Annual,22.78,42.19,17.78,19.99
A035760,CJ ENM,12,2022,Annual,24.13,40.58,27.45,24.48
A067310,하나마이크론,12,2011,Annual,23.84,30.88,32.29,13.35
A067310,하나마이크론,12,2012,Annual,14.10,17.64,16.02,8.91
A067310,하나마이크론,12,2013,Annual,7.99,9.33,12.56,5.96
A067310,하나마이크론,12,2014,Annual,15.20,18.12,27.94,12.58
A067310,하나마이크론,12,2015,Annual,13.17,15.61,22.59,11.33
A067310,하나마이크론,12,2016,Annual,0.59,0.73,1.06,0.61
A067310,하나마이크론,12,2017,Annual,12.54,17.10,23.62,10.40
A067310,하나마이크론,12,2018,Annual,11.54,15.40,21.91,8.86
A067310,하나마이크론,12,2019,Annual,11.11,14.25,21.80,9.68
A067310,하나마이크론,12,2020,Annual,8.53,10.63,17.45,7.81
A067310,하나마이크론,12,2021,Annual,18.41,24.48,29.68,15.41
A067310,하나마이크론,12,2022,Annual,12.38,17.18,20.14,10.54
A417200,LS머트리얼즈,12,2011,Annual,,,,
A417200,LS머트리얼즈,12,2012,Annual,,,,
A417200,LS머트리얼즈,12,2013,Annual,,,,
A417200,LS머트리얼즈,12,2014,Annual,,,,
A417200,LS머트리얼즈,12,2015,Annual,,,,
A417200,LS머트리얼즈,12,2016,Annual,,,,
A417200,LS머트리얼즈,12,2017,Annual,,,,
A417200,LS머트리얼즈,12,2018,Annual,,,,
A417200,LS머트리얼즈,12,2019,Annual,,,,
A417200,LS머트리얼즈,12,2020,Annual,,,,
A417200,LS머트리얼즈,12,2021,Annual,,,,9.61
A417200,LS머트리얼즈,12,2022,Annual,25.58,103.84,15.18,8.19
A281740,레이크머티리얼즈,12,2011,Annual,4.28,6.29,3.52,10.65
A281740,레이크머티리얼즈,12,2012,Annual,0.83,1.12,1.07,2.26
A281740,레이크머티리얼즈,12,2013,Annual,-6.49,-7.99,-12.37,-12.24
A281740,레이크머티리얼즈,12,2014,Annual,14.59,17.40,29.74,20.16
A281740,레이크머티리얼즈,12,2015,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),10.00
A281740,레이크머티리얼즈,12,2016,Annual,-6.44,-7.40,-27.20,-10.15
A281740,레이크머티리얼즈,12,2017,Annual,33.75,41.07,56.37,29.73
A281740,레이크머티리얼즈,12,2018,Annual,14.60,18.04,20.95,14.97
A281740,레이크머티리얼즈,12,2019,Annual,12.98,15.72,20.85,16.22
A281740,레이크머티리얼즈,12,2020,Annual,13.44,16.19,18.98,14.04
A281740,레이크머티리얼즈,12,2021,Annual,33.22,42.35,47.08,28.62
A281740,레이크머티리얼즈,12,2022,Annual,31.61,39.01,47.45,26.24
A328130,루닛,12,2011,Annual,,,,
A328130,루닛,12,2012,Annual,,,,
A328130,루닛,12,2013,Annual,,,,
A328130,루닛,12,2014,Annual,,,,
A328130,루닛,12,2015,Annual,,,,
A328130,루닛,12,2016,Annual,,,,
A328130,루닛,12,2017,Annual,,,,
A328130,루닛,12,2018,Annual,,,,"-39,956.29"
A328130,루닛,12,2019,Annual,-76.39,-269.36,완전잠식,"-23,486.08"
A328130,루닛,12,2020,Annual,-65.14,-273.85,완전잠식,"-5,763.35"
A328130,루닛,12,2021,Annual,-57.85,-431.17,완전잠식,"-1,078.62"
A328130,루닛,12,2022,Annual,-60.10,-339.73,-101.70,-260.19
A237690,에스티팜,12,2011,Annual,13.49,23.74,20.87,11.12
A237690,에스티팜,12,2012,Annual,14.62,24.41,20.21,10.63
A237690,에스티팜,12,2013,Annual,18.61,23.14,23.21,13.82
A237690,에스티팜,12,2014,Annual,13.27,16.33,17.62,10.12
A237690,에스티팜,12,2015,Annual,30.34,48.06,37.31,22.71
A237690,에스티팜,12,2016,Annual,82.05,238.12,34.05,36.04
A237690,에스티팜,12,2017,Annual,133.16,"6,832.43",17.03,27.89
A237690,에스티팜,12,2018,Annual,-0.17,-30.29,-0.01,-0.04
A237690,에스티팜,12,2019,Annual,-28.61,-91.16,-2.31,-7.87
A237690,에스티팜,12,2020,Annual,2.06,2.69,0.64,1.55
A237690,에스티팜,12,2021,Annual,11.03,15.12,5.69,10.70
A237690,에스티팜,12,2022,Annual,17.71,29.42,10.67,14.28
A064760,티씨케이,12,2011,Annual,88.68,,23.65,26.85
A064760,티씨케이,12,2012,Annual,94.05,,15.04,23.17
A064760,티씨케이,12,2013,Annual,91.97,,8.91,19.75
A064760,티씨케이,12,2014,Annual,131.40,,12.24,21.69
A064760,티씨케이,12,2015,Annual,205.58,,21.14,30.10
A064760,티씨케이,12,2016,Annual,216.47,,27.99,32.55
A064760,티씨케이,12,2017,Annual,225.06,,35.47,35.31
A064760,티씨케이,12,2018,Annual,211.33,,34.20,33.05
A064760,티씨케이,12,2019,Annual,183.15,"28,687.18",27.35,32.28
A064760,티씨케이,12,2020,Annual,207.72,"20,661.10",28.99,31.19
A064760,티씨케이,12,2021,Annual,213.97,"21,264.32",30.98,34.89
A064760,티씨케이,12,2022,Annual,189.97,"21,530.47",28.60,33.84
A089030,테크윙,12,2011,Annual,24.17,54.74,40.05,14.39
A089030,테크윙,12,2012,Annual,21.24,36.83,24.46,14.86
A089030,테크윙,12,2013,Annual,16.54,23.70,19.83,13.23
A089030,테크윙,12,2014,Annual,13.20,18.87,17.37,10.79
